userid,date,Age,Gender,Marital,STATE,Education,Income
70119638,202010,62,2,1,IN,Some College,Over 100k
70119642,202010,27,2,1,CA,College,Over 100k
70119650,202010,31,1,2,MS,Some College,Under 50k
70119658,202010,60,2,1,WA,Some College,Under 50k
70119659,202011,54,2,1,MS,College,Over 100k
70119661,202010,90,2,1,PA,Some College,Under 50k
70119664,202010,48,2,1,TX,College,Over 100k
70119669,202010,70,2,1,NV,College,Over 100k
70119670,202010,33,1,1,AR,College,50k to 100k
70119675,202010,64,1,1,NC,College,Under 50k
70119678,202011,53,1,1,NY,Some College,Over 100k
70119679,202010,44,1,1,MO,College,Under 50k
70119682,202011,39,1,1,CA,Some College,50k to 100k
70119686,202010,62,2,1,CO,Some College,Over 100k
70119689,202010,48,2,1,ND,Some College,Over 100k
70119692,202010,37,1,1,VA,College,Over 100k
70119693,202010,58,1,1,PA,Some College,Under 50k
70119698,202010,45,2,1,MD,College,Over 100k
70119701,202010,35,1,2,TX,High School,Under 50k
70119703,202011,26,1,1,TX,High School,50k to 100k
70119704,202011,36,2,1,KY,College,50k to 100k
70119716,202010,35,2,1,NY,Some College,50k to 100k
70119717,202010,34,2,1,FL,College,50k to 100k
70119718,202011,53,2,1,OH,College,Over 100k
70119723,202010,33,2,1,HI,College,Over 100k
70119724,202010,50,1,2,CO,College,Over 100k
70119733,202010,46,1,1,MO,Some College,Under 50k
70119737,202010,80,1,1,FL,College,50k to 100k
70119738,202010,67,1,2,HI,Some College,50k to 100k
70119741,202010,36,1,2,CA,Some College,50k to 100k
70119744,202011,64,1,2,NY,College,Under 50k
70119751,202010,38,2,1,IN,College,Over 100k
70119753,202010,25,2,2,KY,College,Under 50k
70119756,202010,46,1,1,FL,Some College,50k to 100k
70119772,202010,39,1,1,LA,College,Over 100k
70119773,202010,74,2,1,FL,High School,50k to 100k
70119775,202010,69,2,1,WA,Some College,Over 100k
70119777,202010,74,2,1,WA,High School,Under 50k
70119778,202010,55,2,1,TX,College,Over 100k
70119782,202010,42,1,2,TX,High School,Under 50k
70119784,202010,55,2,1,RI,College,Under 50k
70119789,202010,28,2,1,NY,College,50k to 100k
70119809,202010,33,1,1,ID,Some College,Under 50k
70119816,202011,64,1,2,MI,High School,Under 50k
70119825,202010,31,2,1,OH,College,50k to 100k
70119829,202010,44,1,2,TX,Some College,Under 50k
70119833,202010,37,1,1,PA,Some College,50k to 100k
70119835,202010,43,2,2,OH,Some College,Under 50k
70119840,202010,75,2,1,IL,Some College,50k to 100k
70119845,202011,27,1,1,AR,College,Under 50k
70119847,202011,32,1,1,WI,College,Over 100k
70119850,202011,79,2,1,MT,College,50k to 100k
70119856,202010,60,2,2,PA,College,Over 100k
70119867,202011,36,2,1,NY,College,50k to 100k
70119868,202011,27,2,1,IL,College,Over 100k
70119872,202010,49,1,1,FL,Some College,Under 50k
70119877,202011,25,2,2,MD,Some College,Under 50k
70119885,202011,73,2,1,TX,College,Over 100k
70119888,202010,42,2,1,NY,College,Over 100k
70119903,202010,37,1,1,OR,College,50k to 100k
70119904,202010,59,2,2,MI,Some College,50k to 100k
70119912,202010,39,1,2,KS,College,Under 50k
70119914,202011,35,1,1,MI,College,Over 100k
70119923,202010,73,2,1,CA,Some College,50k to 100k
70119925,202010,54,2,1,NY,College,Over 100k
70119934,202011,25,1,1,SD,Some College,Over 100k
70119949,202010,43,1,1,CA,College,Over 100k
70119952,202010,52,2,1,ME,College,Over 100k
70119953,202011,76,2,1,IL,College,Under 50k
70119955,202010,66,2,2,NY,Some College,Under 50k
70119957,202011,31,1,1,ND,High School,50k to 100k
70119958,202010,42,1,2,NJ,Some College,Under 50k
70119963,202010,29,1,1,ID,College,Under 50k
70119968,202011,56,1,1,CO,College,Over 100k
70119974,202011,65,1,2,IL,College,Under 50k
70119985,202011,79,2,1,FL,Some College,Under 50k
70119988,202011,69,2,1,GA,College,50k to 100k
70119991,202010,42,2,1,MN,College,Over 100k
70119996,202010,73,1,2,MO,Some College,50k to 100k
70120000,202011,44,2,1,OH,College,Over 100k
70120001,202011,51,2,1,CT,High School,Over 100k
70120007,202011,63,2,1,PA,College,50k to 100k
70120008,202010,46,2,1,IN,College,Over 100k
70120011,202010,35,1,2,OH,Some College,Under 50k
70120012,202010,29,2,1,TX,College,50k to 100k
70120019,202010,46,1,2,RI,College,Under 50k
70120032,202010,49,2,1,MI,Some College,Under 50k
70120039,202010,45,1,1,NC,Some College,Under 50k
70120052,202010,73,1,2,DE,Some College,Under 50k
70120071,202010,28,2,1,PA,College,Over 100k
70120083,202010,55,1,2,CA,College,Over 100k
70120084,202010,49,1,2,CA,Some College,Under 50k
70120089,202010,26,1,1,NH,College,Over 100k
70120111,202010,37,2,2,PA,College,Over 100k
70120126,202010,66,1,2,TN,High School,Under 50k
70120135,202010,45,2,2,CA,College,Under 50k
70120136,202010,39,2,2,MI,Some College,Under 50k
70120152,202010,21,1,1,NE,Some College,Under 50k
70120154,202010,50,2,2,PA,College,Over 100k
70120179,202010,27,2,1,DE,College,50k to 100k
70120187,202010,27,2,2,TX,College,50k to 100k
70120190,202010,34,1,1,IL,College,50k to 100k
70120198,202010,37,2,1,WI,Some College,Over 100k
70120214,202010,76,1,2,PA,College,Under 50k
70120231,202010,54,2,2,WA,Some College,Under 50k
70120244,202012,64,2,1,GA,Some College,50k to 100k
70120246,202011,27,2,2,OH,College,50k to 100k
70120247,202012,53,2,2,MN,College,50k to 100k
70120248,202011,25,1,2,NY,College,50k to 100k
70120250,202011,35,2,1,FL,College,50k to 100k
70120252,202011,58,1,1,MT,High School,Under 50k
70120254,202011,24,2,1,IL,College,50k to 100k
70120259,202011,32,1,1,TN,College,Over 100k
70120262,202011,39,1,1,OK,College,Over 100k
70120264,202012,78,1,2,CA,College,Under 50k
70120265,202011,28,2,1,CA,College,50k to 100k
70120270,202011,53,2,1,OH,College,Over 100k
70120271,202011,35,2,2,WI,High School,Under 50k
70120273,202011,50,1,1,FL,College,50k to 100k
70120276,202012,33,1,2,MS,College,Under 50k
70120280,202012,50,2,1,VA,College,Over 100k
70120285,202011,83,2,1,NH,Some College,50k to 100k
70120287,202011,75,2,1,GA,College,Over 100k
70120290,202012,60,1,2,VA,College,50k to 100k
70120296,202011,29,2,1,MN,College,Over 100k
70120298,202011,38,1,1,ID,College,Under 50k
70120300,202011,53,1,1,ND,College,Under 50k
70120301,202011,28,2,1,KY,College,50k to 100k
70120306,202011,62,1,1,FL,College,50k to 100k
70120308,202011,65,2,2,CA,College,Over 100k
70120309,202011,39,2,1,WY,High School,50k to 100k
70120311,202011,50,1,2,WI,Some College,Under 50k
70120312,202012,47,2,1,IA,College,50k to 100k
70120314,202011,24,1,2,CA,College,Over 100k
70120319,202012,67,1,2,MO,Some College,50k to 100k
70120325,202011,65,1,2,MN,High School,Under 50k
70120328,202011,74,2,1,MS,College,50k to 100k
70120333,202011,62,1,2,CA,Some College,Under 50k
70120335,202011,37,1,2,VT,College,Under 50k
70120338,202011,65,1,1,GA,College,Over 100k
70120346,202011,27,2,1,FL,High School,50k to 100k
70120347,202011,35,2,1,FL,College,Over 100k
70120349,202011,30,1,1,NC,College,50k to 100k
70120357,202011,68,1,2,OR,Some College,Under 50k
70120359,202012,48,2,2,TN,College,50k to 100k
70120361,202011,48,2,1,TX,College,Over 100k
70120362,202011,71,1,2,MI,High School,Under 50k
70120375,202011,65,2,1,NC,Some College,50k to 100k
70120383,202011,38,1,2,VA,Some College,Under 50k
70120385,202011,28,1,1,OK,College,Over 100k
70120390,202012,47,2,1,CA,College,Over 100k
70120392,202011,65,2,1,IN,Some College,50k to 100k
70120404,202011,67,2,1,FL,High School,Under 50k
70120409,202011,31,2,2,NY,College,Over 100k
70120411,202011,52,2,1,MO,Some College,50k to 100k
70120412,202011,63,2,2,MI,Some College,Under 50k
70120418,202011,48,2,1,TX,Some College,Over 100k
70120427,202012,70,2,1,IN,College,50k to 100k
70120429,202011,49,1,2,GA,Some College,Under 50k
70120430,202011,59,1,2,ME,College,50k to 100k
70120432,202011,511,1,1,KY,College,50k to 100k
70120434,202011,62,1,2,CA,College,50k to 100k
70120435,202011,43,2,2,VA,College,Under 50k
70120441,202011,63,1,1,SC,College,Over 100k
70120442,202011,51,2,2,CO,Some College,50k to 100k
70120446,202011,47,1,2,TX,College,50k to 100k
70120449,202011,60,2,2,TX,College,Under 50k
70120452,202012,74,2,1,PA,High School,50k to 100k
70120453,202011,78,2,1,IL,College,Over 100k
70120456,202011,46,1,1,KS,High School,50k to 100k
70120458,202011,36,1,1,GA,College,50k to 100k
70120465,202011,36,1,2,NY,College,Under 50k
70120473,202011,44,2,1,TX,College,Over 100k
70120491,202011,33,1,1,KY,College,50k to 100k
70120492,202011,42,2,1,CO,College,50k to 100k
70120494,202011,39,2,1,OR,College,Over 100k
70120496,202011,61,1,1,CT,High School,50k to 100k
70120505,202011,45,2,2,NY,Some College,Under 50k
70120508,202011,71,1,2,FL,Some College,50k to 100k
70120513,202011,45,1,1,FL,College,50k to 100k
70120520,202012,74,1,1,DE,College,50k to 100k
70120534,202012,28,1,2,NJ,College,50k to 100k
70120538,202011,54,2,1,SC,Some College,50k to 100k
70120541,202011,55,1,2,WA,College,50k to 100k
70120546,202011,32,2,2,NY,College,Over 100k
70120550,202011,41,2,1,MA,College,Over 100k
70120551,202011,32,1,1,CA,College,Over 100k
70120558,202011,58,1,2,SC,College,Under 50k
70120564,202011,32,2,2,NJ,College,50k to 100k
70120567,202011,35,1,1,TX,College,50k to 100k
70120568,202011,26,1,2,SC,Some College,50k to 100k
70120570,202011,32,2,2,PA,College,50k to 100k
70120572,202011,48,1,1,CT,College,Over 100k
70120583,202011,86,1,2,CA,Some College,Under 50k
70120588,202011,49,2,2,NE,Some College,Under 50k
70120593,202012,42,1,1,CA,College,50k to 100k
70120594,202012,38,1,2,TX,Some College,50k to 100k
70120596,202011,53,1,1,VA,College,50k to 100k
70120607,202011,27,2,1,NY,College,Under 50k
70120615,202011,41,1,1,AR,College,Over 100k
70120617,202011,50,2,1,NJ,Some College,Over 100k
70120621,202011,62,2,2,WA,College,Under 50k
70120622,202011,68,2,1,AZ,Some College,Under 50k
70120627,202011,37,2,1,AZ,College,Over 100k
70120636,202011,31,2,1,WV,College,Over 100k
70120644,202011,37,2,1,NC,College,50k to 100k
70120645,202011,51,2,1,OH,High School,Over 100k
70120650,202011,77,1,2,CA,College,Under 50k
70120651,202011,73,2,1,GA,College,Over 100k
70120653,202011,48,1,1,FL,High School,50k to 100k
70120654,202011,45,2,1,MI,Some College,50k to 100k
70120657,202011,53,1,2,MN,College,Over 100k
70120658,202011,56,1,1,TX,College,50k to 100k
70120660,202011,36,2,1,PA,College,Over 100k
70120662,202012,71,1,2,WI,Some College,50k to 100k
70120663,202011,39,1,1,UT,College,Over 100k
70120666,202011,28,2,1,CA,College,Over 100k
70120670,202011,86,2,2,PA,Some College,Under 50k
70120674,202011,87,2,1,NY,College,50k to 100k
70120675,202011,65,1,1,OH,Some College,Under 50k
70120680,202011,28,1,1,NC,Some College,Under 50k
70120682,202012,60,2,1,CA,College,Over 100k
70120683,202011,65,2,1,NE,College,50k to 100k
70120691,202011,42,1,2,CA,College,Under 50k
70120696,202011,27,1,1,OK,Some College,Under 50k
70120700,202011,69,2,1,IL,College,Over 100k
70120706,202011,72,2,1,MO,College,Over 100k
70120716,202012,73,1,1,NJ,High School,Under 50k
70120721,202011,61,1,2,MS,College,Under 50k
70120722,202011,61,1,1,IN,Some College,50k to 100k
70120733,202011,62,1,2,TN,Some College,50k to 100k
70120734,202011,49,2,1,NY,Some College,50k to 100k
70120739,202011,72,1,2,NC,High School,Under 50k
70120743,202011,61,2,1,OR,College,50k to 100k
70120746,202011,68,2,2,CT,Some College,50k to 100k
70120752,202011,72,2,1,DE,College,Over 100k
70120753,202011,26,1,2,PA,High School,Under 50k
70120766,202011,52,2,1,NY,High School,50k to 100k
70120770,202011,45,1,1,TX,College,50k to 100k
70120771,202011,40,1,1,AZ,Some College,Over 100k
70120781,202011,62,2,1,MI,College,50k to 100k
70120784,202011,43,2,2,WA,High School,50k to 100k
70120785,202011,42,1,1,CO,College,50k to 100k
70120788,202011,30,1,2,NY,Some College,Under 50k
70120798,202011,56,2,1,HI,Some College,Over 100k
70120815,202011,50,1,2,VA,Some College,50k to 100k
70120818,202011,47,1,2,OK,Some College,Under 50k
70120848,202011,58,1,1,KS,High School,Under 50k
70120860,202011,54,2,1,GA,Some College,Under 50k
70120870,202012,61,1,1,MI,College,Under 50k
70120872,202012,59,2,2,ID,College,Under 50k
70120876,202012,28,2,1,NY,Some College,50k to 100k
70120886,202012,72,1,1,ME,College,Under 50k
70120897,202012,65,1,1,CO,College,Over 100k
70120899,202012,53,2,2,WA,Some College,Under 50k
70120902,202012,47,2,1,NM,High School,Over 100k
70120925,202012,31,2,2,CA,College,50k to 100k
70120929,202012,50,1,1,WI,High School,Over 100k
70120933,202012,30,2,1,CT,College,Over 100k
70120944,202101,69,2,1,WI,High School,50k to 100k
70120945,202012,36,2,1,WA,Some College,50k to 100k
70120946,202012,71,1,2,TX,College,50k to 100k
70120949,202101,65,2,1,CO,College,50k to 100k
70120950,202012,23,2,2,IA,College,Under 50k
70120953,202012,77,2,1,NC,College,Over 100k
70120954,202012,78,2,1,IL,College,Over 100k
70120958,202101,73,1,1,CA,Some College,Under 50k
70120962,202012,67,2,2,FL,College,Under 50k
70120965,202012,46,1,1,NY,College,50k to 100k
70120969,202012,58,1,1,SC,Some College,50k to 100k
70120970,202101,28,1,2,NY,College,50k to 100k
70120971,202101,31,1,2,VA,College,Under 50k
70120973,202012,65,2,1,TX,Some College,Over 100k
70120976,202012,68,1,2,TX,College,Under 50k
70120977,202012,38,2,1,NJ,Some College,Under 50k
70120986,202012,38,2,2,NY,College,50k to 100k
70120988,202101,66,2,1,NY,Some College,Over 100k
70120994,202012,61,2,2,MA,College,Under 50k
70120995,202012,40,2,1,WA,College,Over 100k
70121002,202012,32,2,2,WA,Some College,50k to 100k
70121012,202012,39,1,1,WI,College,Over 100k
70121022,202012,44,2,1,WA,College,Over 100k
70121031,202012,81,1,2,IA,College,Under 50k
70121045,202012,57,2,2,WI,College,Under 50k
70121048,202012,26,1,1,TX,College,Under 50k
70121060,202012,68,2,1,IA,College,50k to 100k
70121063,202101,75,1,2,CT,Some College,Under 50k
70121065,202012,35,1,1,OR,College,Over 100k
70121073,202012,38,2,2,IN,High School,Under 50k
70121074,202012,57,2,1,NJ,College,Over 100k
70121076,202012,28,1,1,TN,College,Over 100k
70121078,202012,69,2,1,IL,College,Over 100k
70121084,202012,67,1,2,MN,Some College,Under 50k
70121085,202012,59,1,2,NC,College,Under 50k
70121094,202012,28,1,1,CA,Some College,Under 50k
70121095,202101,52,1,1,NC,College,Over 100k
70121099,202012,65,2,1,PA,College,Under 50k
70121101,202012,49,2,1,PA,College,50k to 100k
70121104,202012,73,1,2,AL,College,Under 50k
70121105,202012,62,1,2,WA,College,Under 50k
70121118,202101,50,2,1,CA,High School,50k to 100k
70121121,202012,56,1,2,IL,College,Under 50k
70121126,202012,63,2,1,MD,College,50k to 100k
70121129,202012,30,2,1,WA,College,Over 100k
70121137,202101,48,2,1,GA,Some College,Over 100k
70121141,202012,60,2,2,TN,High School,50k to 100k
70121144,202012,71,2,1,FL,College,50k to 100k
70121150,202012,56,2,1,IA,Some College,Over 100k
70121151,202012,27,2,1,WA,College,Over 100k
70121155,202012,38,1,1,IL,Some College,Under 50k
70121163,202101,70,2,1,PA,College,50k to 100k
70121165,202012,29,2,1,SC,Some College,50k to 100k
70121170,202012,41,2,2,LA,Some College,Over 100k
70121171,202012,29,1,2,MI,College,50k to 100k
70121173,202012,63,2,1,NY,College,50k to 100k
70121176,202012,23,2,2,KS,Some College,Under 50k
70121180,202101,74,1,2,FL,College,50k to 100k
70121182,202012,45,2,1,TX,High School,Over 100k
70121183,202012,61,1,1,SD,College,Under 50k
70121184,202101,71,2,1,TX,Some College,50k to 100k
70121186,202012,32,2,2,IL,Some College,Under 50k
70121189,202012,51,2,1,WA,High School,Over 100k
70121190,202012,35,1,1,WV,Some College,Under 50k
70121191,202012,28,1,1,UT,Some College,Over 100k
70121194,202012,24,1,1,NC,College,50k to 100k
70121197,202012,49,1,2,AL,Some College,Under 50k
70121199,202012,80,1,1,CA,Some College,Under 50k
70121200,202012,46,2,2,OK,College,50k to 100k
70121203,202012,36,2,1,MI,Some College,50k to 100k
70121206,202012,55,1,1,NY,Some College,50k to 100k
70121210,202012,37,2,1,OH,College,Under 50k
70121213,202012,33,1,2,IN,High School,Under 50k
70121220,202012,50,2,1,MD,College,Over 100k
70121233,202012,53,1,1,OK,High School,50k to 100k
70121234,202012,53,2,1,OH,College,50k to 100k
70121239,202012,71,1,1,PA,College,Under 50k
70121240,202101,79,2,1,NV,High School,50k to 100k
70121250,202012,72,1,2,OH,High School,Under 50k
70121253,202012,25,1,2,KY,Some College,Over 100k
70121258,202012,63,1,1,TN,Some College,Under 50k
70121259,202101,25,1,2,NC,High School,Under 50k
70121260,202012,41,1,2,MI,Some College,Under 50k
70121261,202012,54,1,1,TN,High School,Under 50k
70121271,202012,20,1,2,AZ,Some College,Over 100k
70121275,202012,42,2,1,CA,College,Over 100k
70121276,202101,63,2,1,OR,Some College,Under 50k
70121286,202101,65,1,1,MN,Some College,50k to 100k
70121289,202012,53,1,1,TN,College,50k to 100k
70121290,202012,36,1,1,NY,College,50k to 100k
70121293,202012,64,2,1,NY,Some College,50k to 100k
70121294,202012,28,1,2,PA,College,Under 50k
70121295,202101,69,1,2,IL,College,50k to 100k
70121300,202012,30,1,1,HI,College,Over 100k
70121302,202012,70,2,2,LA,Some College,Under 50k
70121309,202012,45,2,1,FL,Some College,Over 100k
70121319,202012,58,1,1,OH,Some College,Under 50k
70121322,202012,25,2,2,TX,College,Over 100k
70121328,202012,59,2,1,TX,Some College,50k to 100k
70121329,202012,44,1,1,FL,College,Over 100k
70121333,202012,57,2,1,MI,College,Over 100k
70121336,202012,89,1,2,OH,High School,Under 50k
70121340,202012,35,2,1,AZ,College,50k to 100k
70121342,202012,49,1,1,AR,Some College,Under 50k
70121343,202012,34,1,2,PA,College,Over 100k
70121351,202012,65,1,1,MD,College,50k to 100k
70121354,202012,28,1,1,CA,Some College,Over 100k
70121359,202012,30,1,2,TX,College,50k to 100k
70121371,202012,26,1,2,OH,College,50k to 100k
70121374,202012,38,1,1,NJ,Some College,50k to 100k
70121376,202012,63,1,1,CA,College,50k to 100k
70121380,202012,58,2,1,MT,Some College,50k to 100k
70121387,202012,49,1,1,MI,Some College,50k to 100k
70121394,202012,52,2,2,NJ,College,Over 100k
70121410,202012,25,1,1,PA,College,50k to 100k
70121425,202012,27,1,1,WI,Some College,Under 50k
70121427,202012,60,2,1,NC,College,50k to 100k
70121428,202012,26,2,1,WI,College,Over 100k
70121434,202012,64,2,1,CO,Some College,Over 100k
70121448,202012,26,1,1,UT,College,Over 100k
70121458,202012,35,1,2,TN,College,50k to 100k
70121459,202012,50,2,2,NM,Some College,50k to 100k
70121461,202012,39,2,1,WA,Some College,50k to 100k
70121466,202012,51,1,2,PA,College,Under 50k
70121467,202012,54,2,1,NY,College,Over 100k
70121470,202012,33,1,1,MO,College,50k to 100k
70121487,202012,33,1,2,MI,Some College,Under 50k
70121493,202101,35,1,1,ME,High School,50k to 100k
70121494,202101,54,1,1,NY,Some College,50k to 100k
70121495,202101,31,1,1,IL,Some College,50k to 100k
70121500,202102,42,2,1,CO,High School,Over 100k
70121502,202102,70,2,2,CA,College,Under 50k
70121513,202101,46,1,1,TN,Some College,Under 50k
70121517,202101,40,1,2,NY,College,50k to 100k
70121529,202102,69,1,2,PA,College,Under 50k
70121530,202101,66,1,2,FL,High School,Under 50k
70121536,202101,43,2,2,CA,College,50k to 100k
70121541,202101,29,2,1,OH,High School,Over 100k
70121542,202101,31,2,2,MN,Some College,50k to 100k
70121551,202101,42,1,2,CA,College,50k to 100k
70121555,202101,54,2,1,CA,High School,50k to 100k
70121559,202101,49,2,2,MN,Some College,Over 100k
70121562,202101,31,2,1,RI,College,Over 100k
70121573,202101,74,2,1,CT,College,50k to 100k
70121579,202101,59,2,2,GA,College,Under 50k
70121583,202101,32,1,1,WA,High School,Under 50k
70121584,202102,37,1,2,AZ,High School,Under 50k
70121591,202101,28,1,2,CA,Some College,Under 50k
70121596,202101,47,2,1,CA,College,Over 100k
70121597,202102,31,2,1,WY,High School,Under 50k
70121600,202101,39,2,1,IA,College,Over 100k
70121602,202101,46,2,1,IN,College,50k to 100k
70121604,202102,26,2,2,FL,College,Under 50k
70121606,202101,28,1,1,NM,College,Under 50k
70121614,202101,68,2,1,TX,Some College,Over 100k
70121623,202101,55,2,2,GA,High School,Under 50k
70121630,202102,60,2,1,CO,Some College,Over 100k
70121631,202101,43,1,2,NJ,College,50k to 100k
70121633,202102,58,2,2,MI,Some College,Under 50k
70121640,202101,29,2,1,NC,College,50k to 100k
70121650,202101,31,2,2,CT,College,Under 50k
70121655,202101,67,1,2,FL,College,50k to 100k
70121656,202101,44,1,1,MN,Some College,Over 100k
70121657,202101,39,2,1,NE,College,50k to 100k
70121659,202101,49,2,2,WI,College,Under 50k
70121663,202101,49,1,1,CT,College,50k to 100k
70121667,202101,84,2,2,TX,Some College,50k to 100k
70121670,202101,42,2,1,ID,Some College,50k to 100k
70121672,202101,50,1,1,CA,College,Over 100k
70121673,202101,58,2,1,TX,College,50k to 100k
70121689,202101,67,1,1,TX,Some College,Under 50k
70121697,202102,48,2,1,CA,Some College,Over 100k
70121704,202101,28,2,1,UT,College,50k to 100k
70121708,202101,53,1,1,WV,Some College,Under 50k
70121709,202102,69,2,1,NC,College,Under 50k
70121719,202101,35,2,1,MA,College,Over 100k
70121721,202102,28,2,2,OH,College,50k to 100k
70121736,202101,56,1,2,CA,College,50k to 100k
70121739,202101,57,1,2,MO,College,50k to 100k
70121742,202101,56,1,1,CA,College,50k to 100k
70121749,202101,34,1,1,UT,Some College,50k to 100k
70121752,202101,30,2,1,PA,Some College,Over 100k
70121754,202101,73,1,2,KY,College,50k to 100k
70121756,202101,67,1,1,NY,Some College,Over 100k
70121762,202101,68,2,1,TX,College,Over 100k
70121770,202102,24,1,2,MO,College,50k to 100k
70121772,202102,71,1,1,CO,Some College,Over 100k
70121778,202101,60,2,2,NJ,High School,50k to 100k
70121781,202101,33,2,2,CA,College,50k to 100k
70121782,202101,44,1,1,OH,College,Over 100k
70121785,202101,43,2,1,FL,College,Over 100k
70121786,202102,73,1,2,PA,High School,Under 50k
70121788,202101,42,2,1,FL,College,50k to 100k
70121790,202101,35,2,2,MI,College,50k to 100k
70121794,202101,58,2,1,IL,College,Over 100k
70121795,202101,81,2,1,GA,High School,Under 50k
70121806,202101,82,2,1,LA,College,Over 100k
70121807,202102,42,1,2,WI,College,50k to 100k
70121811,202101,72,2,1,WI,Some College,50k to 100k
70121818,202102,32,2,1,NC,College,50k to 100k
70121823,202102,53,2,1,FL,College,Over 100k
70121828,202101,63,2,2,NV,College,Over 100k
70121830,202101,38,2,1,NY,College,Over 100k
70121838,202101,38,1,1,ND,High School,Over 100k
70121845,202101,24,1,1,MT,High School,Under 50k
70121849,202101,42,2,1,NY,High School,Under 50k
70121854,202101,41,1,2,CA,College,Over 100k
70121856,202102,63,2,2,TX,Some College,Under 50k
70121857,202101,34,2,2,VA,Some College,Under 50k
70121864,202101,32,2,1,NJ,College,Over 100k
70121865,202101,67,1,2,TX,High School,Under 50k
70121872,202101,27,1,1,AL,College,Over 100k
70121874,202102,53,1,1,MA,High School,Over 100k
70121876,202101,62,1,2,CA,College,50k to 100k
70121877,202101,73,2,1,TX,Some College,50k to 100k
70121882,202101,46,1,1,PA,Some College,50k to 100k
70121884,202101,26,1,2,MI,College,50k to 100k
70121888,202101,60,1,2,AZ,Some College,Under 50k
70121890,202101,55,1,2,VA,Some College,Over 100k
70121892,202101,45,1,1,CA,College,Over 100k
70121894,202101,80,2,1,OH,Some College,Under 50k
70121900,202101,45,2,1,KY,College,Over 100k
70121909,202101,41,1,1,CA,Some College,Over 100k
70121920,202101,69,2,1,NC,Some College,Under 50k
70121926,202102,73,1,1,WI,Some College,Under 50k
70121931,202102,57,2,1,OR,College,Over 100k
70121932,202101,70,1,2,IL,Some College,Under 50k
70121940,202101,26,2,1,WI,College,Over 100k
70121942,202101,33,1,1,OR,High School,50k to 100k
70121947,202101,36,2,1,MO,High School,50k to 100k
70121948,202102,32,2,2,LA,College,Over 100k
70121951,202102,47,1,1,NJ,Some College,Over 100k
70121952,202102,34,1,1,FL,Some College,Under 50k
70121960,202101,68,2,1,OK,Some College,50k to 100k
70121963,202101,36,1,2,OK,Some College,Under 50k
70121964,202102,37,2,2,SC,High School,Under 50k
70121967,202101,27,1,2,VA,College,Under 50k
70121969,202101,72,2,1,NM,College,50k to 100k
70121970,202101,66,2,1,TX,College,Over 100k
70121974,202101,58,1,2,FL,College,50k to 100k
70121977,202101,38,2,1,KS,College,Over 100k
70121980,202101,61,2,1,NY,High School,50k to 100k
70121984,202101,59,1,1,MI,College,50k to 100k
70121998,202102,43,1,1,CT,College,Over 100k
70122000,202102,69,2,2,LA,College,Under 50k
70122001,202101,27,2,1,CA,College,50k to 100k
70122004,202101,33,2,2,CA,High School,Under 50k
70122008,202101,68,2,1,MS,College,Over 100k
70122010,202101,73,2,1,CA,College,50k to 100k
70122012,202101,23,1,2,GA,College,Over 100k
70122014,202102,73,2,1,MN,College,Over 100k
70122015,202102,57,1,1,FL,Some College,50k to 100k
70122022,202102,53,1,2,OR,Some College,Under 50k
70122024,202102,51,1,2,IN,College,Under 50k
70122026,202101,50,2,2,PA,College,Over 100k
70122027,202101,63,1,2,TX,College,Under 50k
70122041,202101,56,2,2,NC,College,Over 100k
70122043,202101,35,1,2,FL,High School,Under 50k
70122044,202102,23,2,1,CA,Some College,50k to 100k
70122063,202101,50,2,1,NY,High School,Under 50k
70122064,202101,49,2,1,AZ,Some College,Over 100k
70122065,202101,80,1,2,NE,Some College,Under 50k
70122069,202102,57,1,2,NY,College,50k to 100k
70122073,202101,71,1,2,MI,College,Under 50k
70122084,202102,53,1,2,FL,High School,50k to 100k
70122087,202102,24,1,2,AL,College,Under 50k
70122092,202101,65,1,2,GA,Some College,Under 50k
70122094,202101,41,1,1,IL,College,50k to 100k
70122097,202101,38,2,1,CO,College,Over 100k
70122101,202101,65,2,2,OH,College,Under 50k
70122103,202102,45,2,1,KS,College,Over 100k
70122110,202101,54,1,2,OR,Some College,Under 50k
70122113,202101,25,2,1,NE,Some College,50k to 100k
70122118,202101,55,2,2,NY,Some College,Under 50k
70122121,202102,73,1,2,WI,Some College,50k to 100k
70122123,202101,55,1,2,PA,High School,50k to 100k
70122126,202101,28,1,1,IL,College,Over 100k
70122152,202101,28,1,1,GA,Some College,Under 50k
70122169,202101,45,1,2,PA,College,Under 50k
70122174,202101,43,1,1,NY,Some College,50k to 100k
70122175,202101,33,1,1,SC,Some College,Under 50k
70122179,202101,43,1,1,KS,College,50k to 100k
70122199,202101,55,1,2,AL,College,50k to 100k
70122225,202101,51,2,1,TX,College,Over 100k
70122227,202101,47,1,1,OK,College,Over 100k
70122230,202101,39,2,1,CA,College,Over 100k
70122231,202101,26,1,1,NY,College,50k to 100k
70122244,202101,33,1,1,CA,College,Over 100k
70122280,202101,60,1,2,CA,Some College,50k to 100k
70122287,202101,35,2,1,FL,College,50k to 100k
70122296,202101,35,1,1,NC,College,50k to 100k
70122310,202101,37,1,1,NY,Some College,Under 50k
70122319,202101,38,2,1,OH,Some College,50k to 100k
70122321,202101,59,2,1,TX,High School,Under 50k
70122328,202103,59,1,2,PA,College,50k to 100k
70122331,202102,65,1,2,NJ,College,Over 100k
